source,target
"Zapatillas originales de Google, para hombre, talla 41, azules y naranjas",Zapatillas de correr 
"Peluche de Android de 38 cm, de algodón orgánico",Peluche
Zapatillas nike air rojas y blancas talla 39,Zapatillas de correr
"Vestido de skater de lunares, sin mangas, talla S, verde",Vestido skater de lunares sin mangas
"Vestido de skater de lunares, sin mangas, talla M, negro",Vestido skater de lunares sin mangas
"Peluche de Android de 38 cm, de algodón orgánico",Peluche
"Vestido de skater de lunares, sin mangas, talla S, negro",Vestido de skater de lunares
Animology Champú Dogs Body 250ml,Champú para perros
Profine 400 Gr Lata Pollo E Hígado De Pollo,Lata de Pollo Profine
Profine 400 Gr Lata Venado,Lata de Venado Profine
Fruit For Pets Champu Pelo Blanco 250ml,Champú pelo blanco
Perfume Para Perros Fruit For Pets Vainilla 125ml,Perfume para perros Vainilla
Perfume Para Perros Y Gatos Fruit For Pets Talco Baby 125ml,Perfume para perros y gatos
Fruit For Pets Antimordeduras 125ml,Antimordeduras
Fruit For Pets Champu Pelo Largo Jojoba 250ml,Champú pelo largo
Perfume Para Perros Fruit For Pets Fresa 125ml,Perfume para perros Fresa
Perfume Para Perros Y Gatos Fruit For Pets Tropical 125ml,Perfume para perros y gatos
Fruit For Pets Repelente Micciones 500ml,Repelente micciones
Fruit For Pets Aceite De Vison Puro 125 Ml,Aceite de vison puro
Beco Pod Dispensador Bolsas Ecológico Verde,Bolsas ecológicas
Planet Pet Gato Bites Pelo Y Piel 40gr,Snacks pelo y piel para gatos
Planet Pet Gato Bites Anti Hairball 40gr,Snacks anti-pelo para gatos
Planet Pet Gato Bites Sterilized 40gr,Snacks para gatos esterilizados
Planet Pet Snacks Tiras Pato 400gr,Tiras de pato
Beco Expositor 64 Rollos X 15 Bolsas Higiénicas,Bolsas higiénicas 64 Rollos
"Belcando Adult Lamb & Rice 12,5 Kg Comida para Perros",Cordero y Arroz comida para perros adultos
¡5% DTO 1er Pedido! Profine Adult Lamb 15 Kg Comida para Perros,Cordero comida para perros adultos
¡5% DTO 1er Pedido! Profine Adult Chicken 15 Kg Comida para Perros,Pollo comida para perros adultos
"Belcando Senior Sensitive 12,5 Kg Comida para Perros",Cordero comida para perros
¡5% DTO 1er Pedido! Profine Junior Large Breed Chicken 15 Kg Comida para Perros,Pollo comida para perros junior
Profine Cat Sterilised 10 Kg Comida para Gatos,Comida para gatos esterilizados
"Belcando Finest Grain Free Lamb 12,5 Kg Comida para Perros",Cordero comida para perros
